Joint,U1,U2,U3,R1,R2,R3
1,0.000062,0.000002609,-0.000196,0.000016,-0.00145,0.000003431
1,0.000007206,-2.688E-07,-0.001499,-0.000063,-0.011443,-0.000002771
2,0.000029,0.000012,-0.000193,0.002287,-0.001323,0.000065
2,0.000003165,0.000000404,-0.001478,0.000278,-0.010479,6.106E-07
3,0.000043,-0.000003708,-0.000203,-0.00011,0.005024,0.000002397
3,-0.000103,-0.000013,-0.001558,-0.001006,0.000598,-0.000146
4,0.000027,0.000008101,-0.0002,0.000014,0.007738,0.000064
4,-0.000127,-0.00000181,-0.001529,-0.000058,0.000782,-0.000008646
5,0.000051,0.000033,-0.000193,0.004627,-0.001307,-0.000002069
5,0.000006752,0.00000252,-0.001466,0.000569,-0.010198,-0.000087
6,0.000034,-0.000006559,-0.000197,-0.000282,0.007138,0.000014
6,-0.000101,-0.000034,-0.001496,-0.002645,0.000736,-0.000198
7,0.000017,0.000029,-0.00019,0.006191,-0.001085,0.000199
7,0.00000276,0.000001559,-0.001409,0.000753,-0.008047,0.00000198
8,0.000058,-0.000007236,-0.000199,-0.000329,0.004266,-0.000024
8,-0.000049,-0.000031,-0.001488,-0.002763,0.000518,-0.000544
9,0.000026,0.000053,-0.000189,0.007916,-0.000953,-0.000002248
9,0.000005236,0.000004813,-0.001354,0.00101,-0.006696,-0.000184
10,0.000063,-0.000009775,-0.000192,-0.000526,0.005747,0.000005275
10,-0.000021,-0.000038,-0.001384,-0.004752,0.000584,-0.000355
11,0.000001878,0.000034,-0.000184,0.008022,-0.000679,0.00033
11,-0.000019,0.000002382,-0.001243,0.001078,-0.004028,0.000004518
12,0.000091,8.476E-08,-0.000193,-0.000487,0.002891,-0.00002
12,0.000001222,-0.000025,-0.001318,-0.004005,0.000357,-0.000815
13,0.000002772,0.000055,-0.000181,0.00843,-0.000426,-8.433E-07
13,-0.000029,0.000006128,-0.001142,0.001255,-0.002223,-0.000296
14,0.000108,0.000011,-0.000184,-0.000658,0.003694,-0.00000192
14,0.000003062,-0.000025,-0.00117,-0.005889,0.000352,-0.000282
15,4.961E-07,0.000023,-0.000174,0.006731,0.002128,0.000508
15,-0.00005,0.000002622,-0.000985,0.001192,-0.000182,0.000007595
16,0.000118,0.00006,-0.000182,-0.000531,0.001171,-0.000003809
16,0.000006808,-0.000012,-0.001058,-0.00435,0.000148,-0.000666
17,-0.000000329,0.000029,-0.000168,0.005739,0.002522,0.000000888
17,-0.00007,0.000005926,-0.000787,0.001245,0.000085,-0.000468
18,0.000124,0.000073,-0.000172,-0.000613,0.001858,0.000025
18,0.000009503,-0.000013,-0.000816,-0.00529,0.000107,-0.000213
19,-0.000001171,0.000001958,-0.000116,0.002103,0.004802,0.000622
19,-0.000068,-0.000008679,-0.000468,0.000372,0.000298,0.000008779
20,0.000119,0.000078,-0.000119,-0.000393,0.000289,0.000079
20,0.000012,-0.000013,-0.000516,-0.002337,-0.00034,-0.00022
21,-0.000003025,0.000003846,0.000122,0.001001,0.002858,0.000005156
21,-0.00007,-0.000025,-0.000149,-0.001985,0.000519,-0.000555
22,0.000119,0.00008,0.000135,-0.000011,0.001981,0.000028
22,0.000016,-0.000017,-0.000152,-0.001574,-0.000056,-0.000297
23,-0.000002832,0.000001011,0.000346,0.000661,0.00214,0.000955
23,-0.000047,-0.000039,-0.000132,-0.003014,0.000444,-0.000041
24,0.000113,0.000106,0.000398,-0.000001351,0.002184,0.000098
24,0.00002,-0.000018,-0.000141,-0.000967,-0.000298,-0.000634
25,0.000005288,0.000006261,0.000529,0.000548,0.000561,0.000001038
25,-0.000011,-0.00008,-0.000116,-0.004245,-0.00088,-0.000541
26,0.000116,0.00013,0.000572,0.000162,0.002245,0.000002937
26,0.000025,-0.000022,-0.000123,-0.001328,0.000188,-0.000149
27,-6.694E-07,0.000003162,0.000878,0.000687,0.00066,0.000266
27,-0.00002,-0.000056,-0.000131,-0.00696,-0.002842,0.000042
28,0.00015,0.000115,0.000956,0.003043,0.002042,0.000714
28,0.00002,-0.000017,-0.00014,-0.000319,0.000018,-0.00011
29,0.00003,0.000003299,0.001206,0.000497,0.001,-0.000003139
29,-0.00000346,-0.000058,-0.000147,-0.005469,-0.007711,-0.000244
30,0.000167,0.000095,0.00124,0.00144,0.008594,0.000114
30,0.000019,-0.000013,-0.00015,-0.000083,-0.000375,-0.000021
31,0.000014,0.000001293,0.001388,0.00029,0.001031,0.000253
31,-0.000001618,-0.000024,-0.000155,-0.00344,-0.008853,-0.000008099
32,0.000187,0.000079,0.001469,0.00094,0.005915,0.000133
32,0.000016,-0.00001,-0.000162,-0.000046,-0.000358,-0.000026
33,0.000062,3.225E-07,0.001511,0.000073,0.001214,0.000001215
33,-0.000005351,-0.000005539,-0.000164,-0.000657,-0.011413,-0.00004
34,0.000179,0.000066,0.00155,0.000087,0.011014,0.000087
34,0.000016,-0.000008035,-0.000167,-0.000716,-0.000546,-0.000013
35,0.000018,0.000016,0.001515,0.002404,0.001155,-0.000009029
35,-0.00000221,-5.828E-07,-0.000169,-0.000184,-0.010116,-0.000088
36,0.000198,0.000056,0.001602,0.000138,0.00661,0.000129
36,0.000013,-0.000006318,-0.000177,-0.001442,-0.000463,-0.00001
37,0.000047,0.000053,0.001463,0.005016,0.001214,0.000214
37,-0.000005611,-0.000002971,-0.000176,-0.00043,-0.009856,-0.00000161
38,0.000188,0.000041,0.001502,0.00034,0.01034,0.000084
38,0.000014,-0.000003958,-0.00018,-0.003581,-0.000585,-0.000033
39,-0.000001907,0.000048,0.0013,0.006841,0.001036,-0.000005286
39,-0.000013,-0.00000215,-0.000179,-0.000661,-0.006159,-0.000447
40,0.000192,0.00004,0.00138,0.000354,0.004961,0.000102
40,0.000011,-0.000003035,-0.000188,-0.003281,-0.000439,-0.000095
41,-0.000003423,0.000078,0.001103,0.007323,0.000987,0.000452
41,-0.000019,-0.000005656,-0.000185,-0.000906,-0.004423,-0.000002602
42,0.000184,0.000029,0.001136,0.000591,0.007161,0.000107
42,0.000011,-2.198E-07,-0.000189,-0.004713,-0.000477,-0.000117
43,-0.00000116,0.000049,0.000802,0.00661,0.002233,-0.000002864
43,-0.000056,-0.000003118,-0.000187,-0.001049,0.000196,-0.000718
44,0.000172,0.00003,0.000863,0.00054,0.002268,0.000054
44,0.000008899,-1.133E-08,-0.000196,-0.003319,-0.000305,-0.000357
45,-0.00000226,0.000051,0.000463,0.004312,0.002658,0.000598
45,-0.000075,-0.000007369,-0.000192,-0.001257,0.000568,-0.000002863
46,0.000169,0.000035,0.000481,0.000776,0.003472,0.000162
46,0.000007963,0.000002839,-0.000195,-0.002901,-0.000255,-0.000001952
47,-2.597E-07,0.00002,0.000062,0.001214,0.006082,-0.000001548
47,-0.000074,-0.000003579,-0.000292,-0.001283,0.000272,-0.000742
48,0.000164,0.000035,0.000067,0.00066,0.000663,0.000057
48,0.000005079,0.000001771,-0.000344,-0.000778,-0.000939,-0.000428
49,2.621E-07,-0.000002768,-0.000181,-0.001348,0.002948,0.000495
49,-0.000078,-0.000016,-0.000689,-0.00525,0.000026,0.000001494
50,0.000161,0.000039,-0.000185,0.004065,0.002346,0.000042
50,0.000002891,-0.000008909,-0.000713,0.000371,0.000027,-0.000141
51,7.667E-07,-0.000003492,-0.000196,-0.001325,0.002688,0.000002132
51,-0.000057,-0.000018,-0.00092,-0.00642,-0.000241,-0.00061
52,0.000157,0.000038,-0.000206,0.003526,0.001115,0.000312
52,3.305E-07,-0.000017,-0.000992,0.000669,0.000132,-0.000026
53,0.000002822,-0.00000711,-0.000198,-0.001343,-0.000093,0.000297
53,-0.000031,-0.000051,-0.001108,-0.008343,-0.001944,0.000002535
54,0.000151,0.000044,-0.000202,0.005498,0.00408,0.000151
54,-0.000003433,0.000007576,-0.001136,0.000783,0.000315,-0.000027
55,0.000001714,-0.000002944,-0.000196,-0.001146,-0.000752,8.203E-07
55,-0.000019,-0.000031,-0.00122,-0.00787,-0.0039,-0.000375
56,0.000136,0.000038,-0.000206,0.003871,0.003066,0.000729
56,-0.000005289,0.000005972,-0.001294,0.000537,0.000345,0.000024
57,0.000027,-0.000005455,-0.000198,-0.001031,-0.001037,0.000182
57,0.000005,-0.000051,-0.001342,-0.008005,-0.006536,0.00000252
58,0.000098,0.000049,-0.000202,0.004703,0.006162,0.000346
58,-0.000009138,0.000006992,-0.001372,0.000581,0.000557,0.000003274
59,0.000018,-0.000002062,-0.000196,-0.000767,-0.001143,1.624E-07
59,0.000002539,-0.000027,-0.001406,-0.006158,-0.007976,-0.000213
60,0.000083,0.00004,-0.000206,0.002766,0.004512,0.000598
60,-0.000029,0.000004283,-0.001485,0.000348,0.000503,0.000005697
61,0.000054,-0.000003079,-0.000197,-0.00055,-0.001354,0.000088
61,0.000006566,-0.00003,-0.001466,-0.004731,-0.01014,8.081E-07
62,0.000052,0.000044,-0.000201,0.002608,0.007418,0.000254
62,-0.000088,0.000003305,-0.001496,0.000314,0.000719,-0.00000185
63,0.00003,-8.825E-07,-0.000195,-0.000262,-0.001345,6.308E-08
63,0.000003079,-0.000009003,-0.001479,-0.00227,-0.010467,-0.000069
64,0.000053,0.000024,-0.000205,0.000925,0.005117,0.000276
64,-0.000096,3.541E-07,-0.001559,0.000126,0.000591,-0.00000898
65,0.0001,-0.000006867,-0.000216,0.001675,-0.000754,-0.00001
65,-0.000231,-0.000033,-0.001681,0.000171,-0.007064,-0.000293
66,0.000087,0.000013,-0.000208,0.000017,-0.000763,0.000126
66,-0.000245,-0.000003301,-0.001589,-0.000053,-0.006923,-0.000017
67,0.000106,-0.00001,-0.000205,0.0029,-0.000674,0.00003
